kid,kanton,pid,partei,fiktive_waehlende
"1","Zürich","1","FDP","57290.189"
"1","Zürich","2","CVP","18487.834"
"1","Zürich","3","SP","72590.406"
"1","Zürich","4","SVP","111972.633"
"1","Zürich","7","EVP","13845.609"
"1","Zürich","9","PdA/Sol.","1300.926"
"1","Zürich","12","FGA","6741.248"
"1","Zürich","13","GPS","59035.610"
"1","Zürich","14","SD","782.838"
"1","Zürich","16","EDU","6753.691"
"1","Zürich","31","GLP","58689.422"
"1","Zürich","32","BDP","6878.809"
"1","Zürich","35","Übrige","5003.786"
"2","Bern / Berne","1","FDP","29069.386"
"2","Bern / Berne","2","CVP","6511.539"
"2","Bern / Berne","3","SP","58495.534"
"2","Bern / Berne","4","SVP","104421.393"
"2","Bern / Berne","7","EVP","14522.660"
"2","Bern / Berne","9","PdA/Sol.","2145.928"
"2","Bern / Berne","13","GPS","47237.093"
"2","Bern / Berne","14","SD","1272.797"
"2","Bern / Berne","16","EDU","8525.551"
"2","Bern / Berne","31","GLP","33850.552"
"2","Bern / Berne","32","BDP","27961.209"
"2","Bern / Berne","35","Übrige","13700.357"
"3","Luzern","1","FDP","20712.596"
"3","Luzern","2","CVP","33934.992"
"3","Luzern","3","SP","17996.047"
"3","Luzern","4","SVP","32944.362"
"3","Luzern","7","EVP","948.111"
"3","Luzern","13","GPS","16279.440"
"3","Luzern","14","SD","198.126"
"3","Luzern","31","GLP","9449.361"
"3","Luzern","32","BDP","0.000"
"3","Luzern","35","Übrige","666.965"
"4","Uri","2","CVP","4685.000"
"4","Uri","3","SP","2659.000"
"4","Uri","4","SVP","4341.000"
"4","Uri","13","GPS","0.000"
"4","Uri","35","Übrige","265.000"
"5","Schwyz","1","FDP","11803.352"
"5","Schwyz","2","CVP","9401.485"
"5","Schwyz","3","SP","7059.509"
"5","Schwyz","4","SVP","18852.587"
"5","Schwyz","7","EVP","307.970"
"5","Schwyz","13","GPS","1333.619"
"5","Schwyz","31","GLP","2342.478"
"6","Obwalden","1","FDP","1683.000"
"6","Obwalden","2","CVP","5325.000"
"6","Obwalden","3","SP","424.000"
"6","Obwalden","4","SVP","5412.000"
"6","Obwalden","35","Übrige","1675.000"
"7","Nidwalden","2","CVP","5383.000"
"7","Nidwalden","4","SVP","9655.000"
"7","Nidwalden","35","Übrige","0.000"
"8","Glarus","3","SP","2861.000"
"8","Glarus","13","GPS","279.000"
"8","Glarus","32","BDP","6396.000"
"8","Glarus","35","Übrige","612.000"
"9","Zug","1","FDP","5766.514"
"9","Zug","2","CVP","9343.712"
"9","Zug","3","SP","3671.819"
"9","Zug","4","SVP","10455.422"
"9","Zug","7","EVP","322.312"
"9","Zug","13","GPS","7555.281"
"9","Zug","31","GLP","2174.939"
"9","Zug","35","Übrige","0.000"
"10","Fribourg / Freiburg","1","FDP","13502.201"
"10","Fribourg / Freiburg","2","CVP","15587.101"
"10","Fribourg / Freiburg","3","SP","18585.542"
"10","Fribourg / Freiburg","4","SVP","17670.839"
"10","Fribourg / Freiburg","7","EVP","650.642"
"10","Fribourg / Freiburg","8","CSP","2846.740"
"10","Fribourg / Freiburg","13","GPS","10913.424"
"10","Fribourg / Freiburg","16","EDU","643.093"
"10","Fribourg / Freiburg","31","GLP","4710.840"
"10","Fribourg / Freiburg","32","BDP","570.945"
"10","Fribourg / Freiburg","35","Übrige","1879.633"
"11","Solothurn","1","FDP","14715.638"
"11","Solothurn","2","CVP","11282.028"
"11","Solothurn","3","SP","14651.913"
"11","Solothurn","4","SVP","20586.733"
"11","Solothurn","7","EVP","953.026"
"11","Solothurn","13","GPS","9071.773"
"11","Solothurn","14","SD","478.777"
"11","Solothurn","16","EDU","0.000"
"11","Solothurn","31","GLP","5409.424"
"11","Solothurn","32","BDP","1580.215"
"11","Solothurn","35","Übrige","727.472"
"12","Basel-Stadt","1","FDP","3246.210"
"12","Basel-Stadt","2","CVP","2454.403"
"12","Basel-Stadt","3","SP","17535.029"
"12","Basel-Stadt","4","SVP","6632.942"
"12","Basel-Stadt","5","LPS","8234.197"
"12","Basel-Stadt","7","EVP","1083.674"
"12","Basel-Stadt","13","GPS","9503.294"
"12","Basel-Stadt","16","EDU","151.546"
"12","Basel-Stadt","31","GLP","3060.386"
"12","Basel-Stadt","32","BDP","197.451"
"12","Basel-Stadt","35","Übrige","1606.868"
"13","Basel-Landschaft","1","FDP","13090.205"
"13","Basel-Landschaft","2","CVP","6726.203"
"13","Basel-Landschaft","3","SP","17271.009"
"13","Basel-Landschaft","4","SVP","19927.386"
"13","Basel-Landschaft","7","EVP","2770.832"
"13","Basel-Landschaft","13","GPS","14259.967"
"13","Basel-Landschaft","16","EDU","0.000"
