kid,kanton,sitze2019,sitze2015,kt
0,Schweiz,200,200,CH
1,Zürich,35,35,ZH
2,Bern / Berne,24,25,BE
3,Luzern,9,10,LU
4,Uri,1,1,UR
5,Schwyz,4,4,SZ
6,Obwalden,1,1,OW
7,Nidwalden,1,1,NW
8,Glarus,1,1,GL
9,Zug,3,3,ZG
10,Fribourg / Freiburg,7,7,FR
11,Solothurn,6,6,SO
12,Basel-Stadt,5,5,BS
13,Basel-Landschaft,7,7,BL
14,Schaffhausen,2,2,SH
15,Appenzell Ausserrhoden,1,1,AR
16,Appenzell Innerrhoden,1,1,AI
17,St. Gallen,12,12,SG
18,Graubünden / Grigioni / Grischun,5,5,GR
19,Aargau,16,16,AG
20,Thurgau,6,6,TG
21,Ticino,8,8,TI
22,Vaud,19,18,VD
23,Valais / Wallis,8,8,VS
24,Neuchâtel,4,4,NE
25,Genève,12,11,GE
26,Jura,2,2,JU
